Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_4_j_A,X_7_j_A,X_8_j_A,X_9_j_A,X_13_j_A,X_19_j_A,X_24_j_A,X_92_j_A,X_1_j_B,X_3_j_B,X_5_j_B,X_6_j_B,X_11_j_B,X_13_j_B,X_15_j_B,X_17_j_B,X_22_j_B,X_26_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,0,Q1,10:00,Dwight Powell,jump ball won,2400,7,A,CAN,1,0,,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,0,0,Q1,10:00,Jock Landale,jump ball lost,2400,13,B,AUS,1,0,0.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,0,Q1,09:47,Luguentz Dort,3pt jump shot missed,2387,0,A,CAN,1,0,13.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,0,0,Q1,09:47,Jock Landale,defensive rebound,2387,13,B,AUS,1,0,0.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,0,0,Q1,09:32,Josh Giddey,3pt jump shot missed,2372,3,B,AUS,1,0,15.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,0,0,Q1,09:30,,team offensive rebound,2370,,,,1,0,2.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,0,Q1,09:30,Shai Gilgeous-Alexander,personal foul,2370,2,A,CAN,1,0,0.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,0,0,Q1,09:30,Nick Kay,foul drawn,2370,15,B,AUS,1,0,0.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,0,2,Q1,09:18,Josh Giddey,2pt floating jump shot made,2358,3,B,AUS,1,0,12.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,0,2,Q1,09:18,Jock Landale,made the assist,2358,13,B,AUS,1,0,0.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,2,Q1,09:02,Luguentz Dort,turnover; out of bounds,2342,0,A,CAN,1,0,16.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,0,2,Q1,08:49,Dwight Powell,defensive rebound,2329,7,A,CAN,1,0,13.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,0,2,Q1,08:49,Patty Mills,2pt pullup jump shot missed,2329,5,B,AUS,1,0,0.0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
