Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_2_j_A,X_4_j_A,X_5_j_A,X_6_j_A,X_7_j_A,X_12_j_A,X_18_j_A,X_24_j_A,X_30_j_A,X_34_j_A,X_91_j_A,X_2_j_B,X_6_j_B,X_7_j_B,X_8_j_B,X_9_j_B,X_11_j_B,X_14_j_B,X_23_j_B,X_32_j_B,X_45_j_B,X_51_j_B,X_99_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,0,0,Q1,10:00,Josh Hawkinson,jump ball lost,2400,24,A,JPN,1,0,,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,0,0,Q1,10:00,Bruno Caboclo,jump ball won,2400,51,B,BRA,1,0,0.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,0,0,Q1,09:47,Josh Hawkinson,defensive rebound,2387,24,A,JPN,1,0,13.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,0,0,Q1,09:47,Marcelinho Huertas,2pt pullup jump shot missed,2387,9,B,BRA,1,0,0.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,0,0,Q1,09:29,Josh Hawkinson,offensive rebound,2369,24,A,JPN,1,0,18.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,0,0,Q1,09:29,Yuta Watanabe,2pt turnaround jump shot missed,2369,12,A,JPN,1,0,0.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,0,0,Q1,09:28,Josh Hawkinson,foul drawn,2368,24,A,JPN,1,0,1.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,0,0,Q1,09:28,Bruno Caboclo,personal foul,2368,51,B,BRA,1,0,0.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,2,0,Q1,09:22,Yuki Kawamura,made the assist,2362,5,A,JPN,1,0,6.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,2,0,Q1,09:22,Josh Hawkinson,alley oop made,2362,24,A,JPN,1,0,0.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
