Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_0_j_A,X_4_j_A,X_6_j_A,X_7_j_A,X_9_j_A,X_10_j_A,X_13_j_A,X_17_j_A,X_32_j_A,X_42_j_A,X_2_j_B,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_8_j_B,X_12_j_B,X_18_j_B,X_24_j_B,X_30_j_B,X_34_j_B,X_91_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_64.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_64--competition_208722,0,0,Q1,10:00,Daniel Theis,jump ball lost,2400,10,A,GER,1,0,,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,0,0,Q1,10:00,Rui Hachimura,jump ball won,2400,8,B,JPN,1,0,0.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_64.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_64--competition_208722,0,0,Q1,09:44,Franz Wagner,defensive rebound,2384,9,A,GER,1,0,16.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,0,0,Q1,09:44,Rui Hachimura,2pt turnaround jump shot missed,2384,8,B,JPN,1,0,0.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_64.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_64--competition_208722,2,0,Q1,09:26,Dennis Schroder,2pt pullup jump shot made,2366,17,A,GER,1,0,18.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_64.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_64--competition_208722,2,0,Q1,09:14,Franz Wagner,defensive rebound,2354,9,A,GER,1,0,12.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,2,0,Q1,09:14,Yuki Kawamura,3pt jump shot missed,2354,5,B,JPN,1,0,0.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_64.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_64--competition_208722,2,0,Q1,09:03,Johannes Voigtmann,3pt jump shot missed,2343,7,A,GER,1,0,11.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,2,0,Q1,09:00,,team defensive rebound,2340,,,,1,0,3.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,2,0,Q1,08:50,Rui Hachimura,3pt jump shot missed,2330,8,B,JPN,1,0,10.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,2,0,Q1,08:50,Hirotaka Yoshii,offensive rebound,2330,91,B,JPN,1,0,0.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_64.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_64--competition_208722,2,0,Q1,08:43,Johannes Voigtmann,defensive rebound,2323,7,A,GER,1,0,7.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,2,0,Q1,08:43,Yuta Watanabe,3pt jump shot missed,2323,12,B,JPN,1,0,0.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_64.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_64--competition_208722,4,0,Q1,08:31,Franz Wagner,2pt driving layup made,2311,9,A,GER,1,0,12.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,4,0,Q1,08:14,Rui Hachimura,3pt jump shot missed,2294,8,B,JPN,1,0,17.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_85.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_85--competition_208722,4,0,Q1,08:14,Hirotaka Yoshii,offensive rebound,2294,91,B,JPN,1,0,0.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
