Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_3_j_A,X_5_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_15_j_A,X_22_j_A,X_23_j_A,X_30_j_A,X_33_j_A,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_8_j_B,X_11_j_B,X_12_j_B,X_13_j_B,X_14_j_B,X_15_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,0,0,Q1,10:00,Filip Petrusev,jump ball lost,2400,3,A,SRB,1,0,,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,0,0,Q1,10:00,Joel Embiid,jump ball won,2400,11,B,USA,1,0,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,0,0,Q1,09:42,Aleksa Avramovic,steal,2382,30,A,SRB,1,0,18.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,0,0,Q1,09:42,Stephen Curry,turnover; bad pass,2382,4,B,USA,1,0,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,2,0,Q1,09:39,Aleksa Avramovic,2pt driving layup made,2379,30,A,SRB,1,0,3.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,2,0,Q1,09:19,Filip Petrusev,defensive rebound,2359,3,A,SRB,1,0,20.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,2,0,Q1,09:19,Joel Embiid,2pt jump shot missed,2359,11,B,USA,1,0,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,2,0,Q1,08:59,Nikola Jokic,3pt jump shot from center missed,2339,15,A,SRB,1,0,20.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_154.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_154--competition_208722,2,0,Q1,08:59,Jrue Holiday,defensive rebound,2339,12,B,USA,1,0,0.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,2,0,Q1,08:50,Filip Petrusev,defensive rebound,2330,3,A,SRB,1,0,9.0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
