Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_4_j_A,X_7_j_A,X_8_j_A,X_9_j_A,X_10_j_A,X_11_j_A,X_14_j_A,X_23_j_A,X_24_j_A,X_25_j_A,X_34_j_A,X_2_j_B,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_8_j_B,X_9_j_B,X_10_j_B,X_14_j_B,X_16_j_B,X_23_j_B,X_24_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_93.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_93--competition_208791,0,0,Q1,10:00,Omari Rasulala Spellman,jump ball won,2400,4,A,LBN,1,0,,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,0,0,Q1,10:00,Willy Hernangomez,jump ball lost,2400,14,B,ESP,1,0,0.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_93.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_93--competition_208791,0,0,Q1,09:39,Sergio El Darwich,2pt driving layup missed,2379,9,A,LBN,1,0,21.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,0,0,Q1,09:39,Willy Hernangomez,defensive rebound,2379,14,B,ESP,1,0,0.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_93.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_93--competition_208791,0,0,Q1,09:26,Youssef Khayat,personal foul; 2 free throws awarded,2366,23,A,LBN,1,0,13.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,0,1,Q1,09:26,Santi Aldama,1st of 2 free throws made,2366,7,B,ESP,1,0,0.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,0,2,Q1,09:26,Santi Aldama,2nd of 2 free throws made,2366,7,B,ESP,1,0,0.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,0,1,Q1,09:26,Lorenzo Brown,made the assist,2366,2,B,ESP,1,0,0.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,0,0,Q1,09:26,Santi Aldama,foul drawn,2366,7,B,ESP,1,0,0.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_93.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_93--competition_208791,2,2,Q1,09:06,Omari Rasulala Spellman,made the assist,2346,4,A,LBN,1,0,20.0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
