Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_1_j_A,X_9_j_A,X_13_j_A,X_18_j_A,X_19_j_A,X_20_j_A,X_21_j_A,X_24_j_A,X_30_j_A,X_34_j_A,X_2_j_B,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_8_j_B,X_9_j_B,X_14_j_B,X_16_j_B,X_23_j_B,X_24_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,0,0,Q1,10:00,Olivier Nkamhoua,jump ball lost,2400,13,A,FIN,1,0,,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,0,0,Q1,10:00,Willy Hernangomez,jump ball won,2400,14,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,0,0,Q1,09:44,Mikael Jantunen,defensive rebound,2384,18,A,FIN,1,0,16.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,0,0,Q1,09:44,Willy Hernangomez,2pt turnaround jump shot missed,2384,14,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,2,0,Q1,09:24,Jacob Grandison,2pt jump shot made,2364,34,A,FIN,1,0,20.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,2,0,Q1,09:24,Olivier Nkamhoua,made the assist,2364,13,A,FIN,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,2,0,Q1,09:06,Lorenzo Brown,3pt jump shot missed,2346,2,B,ESP,1,0,18.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,2,0,Q1,09:06,Willy Hernangomez,offensive rebound,2346,14,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,2,2,Q1,09:01,Willy Hernangomez,layup made,2341,14,B,ESP,1,0,5.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,2,2,Q1,08:43,Edon Maxhuni,2pt jump shot missed,2323,21,A,FIN,1,0,18.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,2,2,Q1,08:43,Santi Aldama,defensive rebound,2323,7,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,2,2,Q1,08:36,Mikael Jantunen,defensive rebound,2316,18,A,FIN,1,0,7.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,2,2,Q1,08:36,Xabi Lopez-Arostegui,3pt jump shot missed,2316,6,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,2,Q1,08:17,Olivier Nkamhoua,2pt driving layup made,2297,13,A,FIN,1,0,19.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,4,Q1,07:50,Willy Hernangomez,2pt turnaround jump shot made,2270,14,B,ESP,1,0,27.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,4,Q1,07:50,Lorenzo Brown,made the assist,2270,2,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,4,Q1,07:40,Elias Valtonen,3pt jump shot missed,2260,19,A,FIN,1,0,10.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,4,Q1,07:40,Santi Aldama,defensive rebound,2260,7,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,6,Q1,07:22,Sergio Llull,2pt driving layup made,2242,23,B,ESP,1,0,18.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,6,Q1,07:08,Olivier Nkamhoua,turnover; bad pass,2228,13,A,FIN,1,0,14.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,6,Q1,06:53,Mikael Jantunen,defensive rebound,2213,18,A,FIN,1,0,15.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,6,Q1,06:53,Sergio Llull,3pt jump shot missed,2213,23,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,6,Q1,06:41,Jacob Grandison,3pt jump shot missed,2201,34,A,FIN,1,0,12.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,6,Q1,06:41,Santi Aldama,defensive rebound,2201,7,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,4,6,Q1,06:28,Elias Valtonen,steal,2188,19,A,FIN,1,0,13.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208791,4,6,Q1,06:28,Xabi Lopez-Arostegui,turnover; bad pass,2188,6,B,ESP,1,0,0.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_58.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_58--competition_208791,6,6,Q1,06:22,Jacob Grandison,made the assist,2182,34,A,FIN,1,0,6.0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
