Quarter,Clock,Player,Team,Action,TeamLineup,OpponentLineup,TimeTogether,Points,OPPpoints,FGA,OPPFGA,FTA,OPPFTA,oREB,OPPoREB,dREB,OPPdREB,TOV,OPPTOV
Q1,10:00,Jilson Bango,ANG,jump ball won,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,10:00,Nicolo Melli,ITA,jump ball lost,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,9:54,Jilson Bango,ANG,layup made,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,6.0,2,-2,1,0,0,0,0,0,0,0,0,0
Q1,9:54,Gerson Goncalves,ANG,made the assist,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,9:34,Marco Spissu,ITA,turnover; bad pass,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,20.0,0,0,0,0,0,0,0,0,0,0,0,1
Q1,9:34,Bruno Fernando,ANG,steal,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,9:32,Stefano Tonut,ITA,personal foul; 1 free throw awarded,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,2.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,9:32,Gerson Goncalves,ANG,2pt driving layup made,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,9:32,Bruno Fernando,ANG,made the assist,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,9:32,Gerson Goncalves,ANG,foul drawn,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,9:32,Gerson Goncalves,ANG,1st free throw made,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,1,-1,0,0,1,0,0,0,0,0,0,0
Q1,9:11,Marco Spissu,ITA,made the assist,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,21.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,9:11,Simone Fontecchio,ITA,layup made,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,-2,2,0,1,0,0,0,0,0,0,0,0
Q1,8:54,,ITA,team defensive rebound,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,17.0,0,0,0,0,0,0,0,0,0,1,0,0
Q1,8:54,Gerson Goncalves,ANG,2pt driving layup missed,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,8:45,Marco Spissu,ITA,2pt floating jump shot missed,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,9.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,8:45,Bruno Fernando,ANG,defensive rebound,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Q1,8:37,Eduardo Francisco,ANG,layup missed,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,8.0,0,0,1,0,0,0,0,0,0,0,0,0
Q1,8:37,Simone Fontecchio,ITA,defensive rebound,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,1,0,0
Q1,8:32,Marco Spissu,ITA,3pt jump shot missed,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,5.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,8:32,Eduardo Francisco,ANG,defensive rebound,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Q1,8:30,Jilson Bango,ANG,turnover; travelling,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,2.0,0,0,0,0,0,0,0,0,0,0,1,0
Q1,8:24,Gerson Goncalves,ANG,2pt jump shot made,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,6.0,2,-2,1,0,0,0,0,0,0,0,0,0
Q1,8:14,,ITA,Timeout,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,10.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,8:14,Marco Spissu,ITA,personal foul; 2 free throws awarded,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,8:14,Simone Fontecchio,ITA,turnover; bad pass,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Q1,8:14,Childe Dundao,ANG,foul drawn,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,8:14,Childe Dundao,ANG,steal,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,8:14,Childe Dundao,ANG,1st of 2 free throws made,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,1,-1,0,0,1,0,0,0,0,0,0,0
Q1,8:14,Childe Dundao,ANG,2nd of 2 free throws made,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,1,-1,0,0,1,0,0,0,0,0,0,0
Q1,8:00,Eduardo Francisco,ANG,personal foul,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,14.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,8:00,Stefano Tonut,ITA,foul drawn,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,7:56,Stefano Tonut,ITA,3pt jump shot missed,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,4.0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,7:56,Achille Polonara,ITA,offensive rebound,Bruno Fernando | Childe Dundao | Eduardo Francisco | Gerson Goncalves | Jilson Bango,Achille Polonara | Marco Spissu | Nicolo Melli | Simone Fontecchio | Stefano Tonut,0.0,0,0,0,0,0,0,0,1,0,0,0,0
