Quarter,Clock,Player,Team,Action,TeamLineup,OpponentLineup,Points,OPPpoints,FGA,OPPFGA,FTA,OPPFTA,oREB,OPPoREB,dREB,OPPdREB,TOV,OPPTOV
1,10:00:00,nan,nan,START of Game,,,0,0,0,0,0,0,0,0,0,0,0,0
1,10:00:00,Dwight POWELL,CAN,Jump ball won,,,0,0,0,0,0,0,0,0,0,0,0,0
1,10:00:00,Omari Rasulala SPELLMAN,LBN,Jump ball lost,,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:47:00,Shai GILGEOUS-ALEXANDER,CAN,"Turnover, Bad pass (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:47:00,Omari Rasulala SPELLMAN,LBN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:32:00,Wael ARAKJI,LBN,"2PtsFG inside paint, Driving Layup made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:14:00,RJ BARRETT,CAN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,09:14:00,Sergio EL DARWICH,LBN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:59:00,Ali HAIDAR,LBN,"2PtsFG outside paint, Hook Shot missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:59:00,Kelly OLYNYK,CAN,Defensive rebound (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:51:00,RJ BARRETT,CAN,"Turnover, Ball handling (1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:51:00,Ali HAIDAR,LBN,Steal (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:46:00,RJ BARRETT,CAN,"Personal foul (P1,T1)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:46:00,Ali HAIDAR,LBN,Foul drawn,,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:39:00,Ali HAIDAR,LBN,"2PtsFG inside paint, Hook Shot made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:39:00,Sergio EL DARWICH,LBN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Dwight POWELL,CAN,"2PtsFG inside paint, Layup made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Shai GILGEOUS-ALEXANDER,CAN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,08:29:00,Ali MEZHER,LBN,"Personal foul, 1 free throw awarded (P1,T1)",,,0,0,0,0,0,0,0,0,0,0,0,0
