Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_4_j_A,X_5_j_A,X_6_j_A,X_9_j_A,X_10_j_A,X_11_j_A,X_12_j_A,X_14_j_A,X_15_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_3_j_B,X_7_j_B,X_9_j_B,X_13_j_B,X_15_j_B,X_23_j_B,X_24_j_B
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,10:00,7,Dwight Powell,jump ball won,2700.0,1,,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,10:00,14,Walker Kessler,jump ball lost,2700.0,1,0.0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:37,24,Dillon Brooks,2pt hook shot made,2677.0,1,23.0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:15,14,Walker Kessler,offensive rebound,2655.0,1,22.0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:15,10,Anthony Edwards,2pt driving layup missed,2655.0,1,0.0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:14,14,Walker Kessler,foul drawn,2654.0,1,1.0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:14,24,Dillon Brooks,personal foul,2654.0,1,0.0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:14,5,Mikal Bridges,Substitution out,2654.0,1,0.0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:14,15,Austin Reaves,Substitution in,2654.0,1,0.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:06,11,Jalen Brunson,2pt floating jump shot missed,2646.0,1,8.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:06,14,Walker Kessler,offensive rebound,2646.0,1,0.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:01,14,Walker Kessler,turnover; ball handling,2641.0,1,5.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,2,Q1,9:01,7,Dwight Powell,steal,2641.0,1,0.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,5,Q1,8:54,2,Shai Gilgeous-Alexander,made the assist,2634.0,1,7.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,5,Q1,8:54,24,Dillon Brooks,3pt jump shot made,2634.0,1,0.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,5,Q1,8:41,12,Josh Hart,offensive foul,2621.0,1,13.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,5,Q1,8:41,12,Josh Hart,turnover,2621.0,1,0.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,5,Q1,8:41,0,Luguentz Dort,foul drawn,2621.0,1,0.0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1
