Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_1_j_A,X_5_j_A,X_6_j_A,X_7_j_A,X_8_j_A,X_10_j_A,X_12_j_A,X_26_j_A,X_27_j_A,X_32_j_A,X_85_j_A,X_99_j_A,X_2_j_B,X_6_j_B,X_7_j_B,X_8_j_B,X_9_j_B,X_11_j_B,X_14_j_B,X_32_j_B,X_45_j_B,X_51_j_B,X_99_j_B,game_code,X_2_j_A,X_4_j_A,X_18_j_A,X_24_j_A,X_30_j_A,X_34_j_A,X_91_j_A,X_1_j_B,X_5_j_B,X_10_j_B,X_12_j_B,X_26_j_B,X_27_j_B,X_85_j_B,X_0_j_B,X_13_j_B,X_17_j_B,X_42_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,0,0,Q1,10:00,Victor Wembanyama,jump ball won,2400,32.0,A,FRA,1,0,,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,0,0,Q1,10:00,Bruno Caboclo,jump ball lost,2400,51.0,B,BRA,1,0,0.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,0,0,Q1,09:39,Victor Wembanyama,3pt jump shot missed,2379,32.0,A,FRA,1,0,21.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,0,0,Q1,09:39,Marcelinho Huertas,defensive rebound,2379,9.0,B,BRA,1,0,0.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,0,2,Q1,09:33,Marcelinho Huertas,2pt floating jump shot made,2373,9.0,B,BRA,1,0,6.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,0,2,Q1,09:19,Victor Wembanyama,foul drawn,2359,32.0,A,FRA,1,0,14.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,0,2,Q1,09:19,Lucas Dias,personal foul,2359,99.0,B,BRA,1,0,0.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,0,2,Q1,09:10,Rudy Gobert,turnover; ball handling,2350,27.0,A,FRA,1,0,9.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,0,2,Q1,09:10,Bruno Caboclo,steal,2350,51.0,B,BRA,1,0,0.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,0,4,Q1,08:56,Marcelinho Huertas,2pt pullup jump shot made,2336,9.0,B,BRA,1,0,14.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,0,4,Q1,08:37,Matthew Strazel,3pt pullup jump shot missed,2317,85.0,A,FRA,1,0,19.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,0,4,Q1,08:34,,team offensive rebound,2314,,,,1,0,3.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,2,4,Q1,08:26,Evan Fournier,2pt floating jump shot made,2306,10.0,A,FRA,1,0,8.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,2,7,Q1,08:04,Leo Meindl,3pt pullup jump shot made,2284,14.0,B,BRA,1,0,22.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,2,7,Q1,07:47,Evan Fournier,foul drawn,2267,10.0,A,FRA,1,0,17.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,2,7,Q1,07:47,Bruno Caboclo,personal foul; 2 free throws awarded,2267,51.0,B,BRA,1,0,0.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,3,7,Q1,07:47,Evan Fournier,1st of 2 free throws made,2267,10.0,A,FRA,1,0,0.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,4,7,Q1,07:47,Evan Fournier,2nd of 2 free throws made,2267,10.0,A,FRA,1,0,0.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,4,7,Q1,07:35,Rudy Gobert,defensive rebound,2255,27.0,A,FRA,1,0,12.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,4,7,Q1,07:35,Bruno Caboclo,layup missed,2255,51.0,B,BRA,1,0,0.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_59.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_59--competition_208722,4,7,Q1,07:18,Evan Fournier,2pt jump shot from center missed,2238,10.0,A,FRA,1,0,17.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_27.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_27--competition_208722,4,7,Q1,07:18,Georginho De Paula,defensive rebound,2238,32.0,B,BRA,1,0,0.0,0.0,1,0,0.0,0,1.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,1,0.0,1.0,1.0,117647,,,,,,,,,,,,,,,,,,
