,Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_3_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_23_j_A,X_24_j_A,X_2_j_B,X_6_j_B,X_8_j_B,X_9_j_B,X_10_j_B,X_11_j_B,X_14_j_B,X_32_j_B,X_50_j_B,X_99_j_B
0,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,10:00,50,Bruno Caboclo,jump ball lost,2400.0,1,,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
1,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,10:00,7,Dwight Powell,jump ball won,2400.0,1,0.0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
2,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,9:37,13,Kelly Olynyk,2pt driving layup missed,2377.0,1,23.0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
3,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,9:37,7,Dwight Powell,offensive rebound,2377.0,1,0.0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
4,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,9:30,50,Bruno Caboclo,defensive rebound,2370.0,1,7.0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
5,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,9:30,50,Bruno Caboclo,blocked the shot,2370.0,1,0.0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
6,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,9:30,9,RJ  Barrett,2pt driving layup blocked,2370.0,1,0.0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
7,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,9:29,,,jump ball situation; throw-in,2369.0,1,1.0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
8,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,9:08,10,Tim Soares,turnover; ball handling,2348.0,1,21.0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
9,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,0,0,Q1,8:43,2,Shai Gilgeous-Alexander,2pt floating jump shot missed,2323.0,1,25.0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
