Player1,Player2,Total_Plus_Minus_On,Total_Plus_Minus_Off
Dillon Brooks,Luguentz Dort,29,-22
RJ Barrett,Luguentz Dort,25,-18
Shai Gilgeous-Alexander,Luguentz Dort,25,-18
Dillon Brooks,RJ Barrett,24,-17
Dillon Brooks,Shai Gilgeous-Alexander,24,-17
Dwight Powell,Shai Gilgeous-Alexander,23,-13
Dwight Powell,Luguentz Dort,23,-16
Dwight Powell,Dillon Brooks,18,-11
RJ Barrett,Shai Gilgeous-Alexander,14,-4
Dwight Powell,RJ Barrett,9,1
Kelly Olynyk,Luguentz Dort,6,1
Dillon Brooks,Kelly Olynyk,5,2
Dwight Powell,Trey Lyles,5,5
Shai Gilgeous-Alexander,Kelly Olynyk,4,3
Nickeil Alexander-Walker,Melvin Ejim,3,7
Kelly Olynyk,Melvin Ejim,3,7
RJ Barrett,Kelly Olynyk,2,5
Shai Gilgeous-Alexander,Khem Birch,2,5
Kelly Olynyk,Khem Birch,1,6
Luguentz Dort,Andrew Nembhard,1,6
Andrew Nembhard,Khem Birch,1,6
Jamal Murray,Khem Birch,1,6
Dwight Powell,Andrew Nembhard,1,6
Dillon Brooks,Trey Lyles,1,6
Dwight Powell,Jamal Murray,0,10
Dillon Brooks,Andrew Nembhard,0,7
Dwight Powell,Nickeil Alexander-Walker,0,7
Nickeil Alexander-Walker,Andrew Nembhard,-1,8
RJ Barrett,Khem Birch,-1,8
Dwight Powell,Kelly Olynyk,-1,8
Shai Gilgeous-Alexander,Andrew Nembhard,-2,9
Luguentz Dort,Trey Lyles,-2,9
Dillon Brooks,Jamal Murray,-2,9
Kelly Olynyk,Nickeil Alexander-Walker,-2,19
Luguentz Dort,Jamal Murray,-3,10
Dillon Brooks,Nickeil Alexander-Walker,-3,10
RJ Barrett,Andrew Nembhard,-4,11
RJ Barrett,Nickeil Alexander-Walker,-7,14
Shai Gilgeous-Alexander,Nickeil Alexander-Walker,-7,14
Trey Lyles,Andrew Nembhard,-7,14
Kelly Olynyk,Andrew Nembhard,-8,15
Kelly Olynyk,Jamal Murray,-8,15
Nickeil Alexander-Walker,Trey Lyles,-8,15
Kelly Olynyk,Trey Lyles,-8,15
Nickeil Alexander-Walker,Jamal Murray,-9,16
Jamal Murray,Andrew Nembhard,-9,16
RJ Barrett,Trey Lyles,-12,22
Shai Gilgeous-Alexander,Trey Lyles,-12,22
Shai Gilgeous-Alexander,Jamal Murray,-18,28
RJ Barrett,Jamal Murray,-18,28
Jamal Murray,Trey Lyles,-20,30
