Player1,Player2,Player3,Total_Plus_Minus_On,Total_Plus_Minus_Off
Dillon Brooks,RJ Barrett,Luguentz Dort,29,-22
Dillon Brooks,Shai Gilgeous-Alexander,Luguentz Dort,29,-22
RJ Barrett,Shai Gilgeous-Alexander,Luguentz Dort,25,-18
Dillon Brooks,RJ Barrett,Shai Gilgeous-Alexander,24,-17
Dwight Powell,Shai Gilgeous-Alexander,Luguentz Dort,22,-15
Dwight Powell,Dillon Brooks,Luguentz Dort,22,-15
Dwight Powell,RJ Barrett,Luguentz Dort,22,-15
Dwight Powell,Dillon Brooks,Shai Gilgeous-Alexander,18,-11
Dwight Powell,Dillon Brooks,RJ Barrett,18,-11
Dwight Powell,RJ Barrett,Shai Gilgeous-Alexander,16,-6
Dillon Brooks,RJ Barrett,Kelly Olynyk,5,2
RJ Barrett,Kelly Olynyk,Luguentz Dort,5,2
RJ Barrett,Shai Gilgeous-Alexander,Kelly Olynyk,5,2
Dillon Brooks,Kelly Olynyk,Luguentz Dort,5,2
Shai Gilgeous-Alexander,Kelly Olynyk,Luguentz Dort,5,2
Dillon Brooks,Shai Gilgeous-Alexander,Kelly Olynyk,5,2
Dwight Powell,Shai Gilgeous-Alexander,Trey Lyles,4,6
Dwight Powell,Jamal Murray,Trey Lyles,3,7
Dwight Powell,Nickeil Alexander-Walker,Andrew Nembhard,2,5
Kelly Olynyk,Nickeil Alexander-Walker,Melvin Ejim,2,8
Dwight Powell,Nickeil Alexander-Walker,Trey Lyles,2,5
Dwight Powell,Nickeil Alexander-Walker,Jamal Murray,2,5
RJ Barrett,Nickeil Alexander-Walker,Andrew Nembhard,2,5
Shai Gilgeous-Alexander,Andrew Nembhard,Khem Birch,2,5
Dillon Brooks,Luguentz Dort,Trey Lyles,2,5
Shai Gilgeous-Alexander,Jamal Murray,Khem Birch,2,5
Shai Gilgeous-Alexander,Kelly Olynyk,Khem Birch,2,5
Shai Gilgeous-Alexander,Nickeil Alexander-Walker,Andrew Nembhard,2,5
Dwight Powell,Trey Lyles,Andrew Nembhard,2,5
Dwight Powell,Luguentz Dort,Jamal Murray,1,6
Dwight Powell,Luguentz Dort,Andrew Nembhard,1,6
Dwight Powell,Kelly Olynyk,Luguentz Dort,1,6
Jamal Murray,Andrew Nembhard,Khem Birch,1,6
Dwight Powell,Jamal Murray,Andrew Nembhard,1,6
Kelly Olynyk,Andrew Nembhard,Khem Birch,1,6
Kelly Olynyk,Jamal Murray,Khem Birch,1,6
Kelly Olynyk,Luguentz Dort,Andrew Nembhard,1,6
Kelly Olynyk,Luguentz Dort,Jamal Murray,1,6
Luguentz Dort,Jamal Murray,Andrew Nembhard,1,6
Dillon Brooks,RJ Barrett,Trey Lyles,1,6
Dillon Brooks,Shai Gilgeous-Alexander,Trey Lyles,1,6
Dillon Brooks,Jamal Murray,Trey Lyles,0,7
RJ Barrett,Luguentz Dort,Andrew Nembhard,0,7
Dwight Powell,Shai Gilgeous-Alexander,Jamal Murray,0,10
Dillon Brooks,Jamal Murray,Andrew Nembhard,0,7
Dillon Brooks,Shai Gilgeous-Alexander,Andrew Nembhard,0,7
Dwight Powell,Dillon Brooks,Trey Lyles,0,7
Dillon Brooks,Luguentz Dort,Andrew Nembhard,0,7
Dillon Brooks,Trey Lyles,Andrew Nembhard,0,7
Dillon Brooks,Nickeil Alexander-Walker,Andrew Nembhard,0,7
Dillon Brooks,Kelly Olynyk,Jamal Murray,0,7
Dwight Powell,Dillon Brooks,Kelly Olynyk,0,7
Dillon Brooks,RJ Barrett,Andrew Nembhard,0,7
Dillon Brooks,Kelly Olynyk,Andrew Nembhard,0,7
Dillon Brooks,Luguentz Dort,Jamal Murray,0,7
Nickeil Alexander-Walker,Trey Lyles,Andrew Nembhard,-1,8
Shai Gilgeous-Alexander,Kelly Olynyk,Andrew Nembhard,-1,8
Dillon Brooks,Nickeil Alexander-Walker,Trey Lyles,-1,8
RJ Barrett,Trey Lyles,Andrew Nembhard,-1,8
RJ Barrett,Andrew Nembhard,Khem Birch,-1,8
RJ Barrett,Shai Gilgeous-Alexander,Andrew Nembhard,-1,8
RJ Barrett,Jamal Murray,Khem Birch,-1,8
RJ Barrett,Kelly Olynyk,Khem Birch,-1,8
Shai Gilgeous-Alexander,Kelly Olynyk,Jamal Murray,-1,8
Dwight Powell,Kelly Olynyk,Andrew Nembhard,-1,8
Dwight Powell,Kelly Olynyk,Jamal Murray,-1,8
Dwight Powell,Dillon Brooks,Jamal Murray,-2,9
Dillon Brooks,Shai Gilgeous-Alexander,Jamal Murray,-2,9
Dwight Powell,Dillon Brooks,Nickeil Alexander-Walker,-2,9
Shai Gilgeous-Alexander,Luguentz Dort,Trey Lyles,-2,9
Dwight Powell,Shai Gilgeous-Alexander,Nickeil Alexander-Walker,-2,9
Dwight Powell,RJ Barrett,Andrew Nembhard,-2,9
Dillon Brooks,RJ Barrett,Jamal Murray,-2,9
RJ Barrett,Luguentz Dort,Trey Lyles,-2,9
Dwight Powell,RJ Barrett,Kelly Olynyk,-2,9
Dwight Powell,RJ Barrett,Trey Lyles,-2,12
