Player1,Player2,Player3,Total_Plus_Minus_On,Total_Plus_Minus_Off
Rudy Gobert,Matthew Strazel,Nando De Colo,8,-4
Rudy Gobert,Evan Fournier,Nicolas Batum,7,-3
Rudy Gobert,Matthew Strazel,Guerschon Yabusele,7,-3
Rudy Gobert,Matthew Strazel,Nicolas Batum,7,-3
Victor Wembanyama,Rudy Gobert,Nicolas Batum,7,-3
Rudy Gobert,Matthew Strazel,Evan Fournier,6,-2
Matthew Strazel,Guerschon Yabusele,Nando De Colo,5,-1
Victor Wembanyama,Rudy Gobert,Evan Fournier,5,-1
Rudy Gobert,Evan Fournier,Guerschon Yabusele,5,-1
Matthew Strazel,Guerschon Yabusele,Bilal Coulibaly,4,0
Victor Wembanyama,Rudy Gobert,Matthew Strazel,4,0
Victor Wembanyama,Matthew Strazel,Nando De Colo,4,0
Matthew Strazel,Nicolas Batum,Nando De Colo,4,0
Rudy Gobert,Guerschon Yabusele,Bilal Coulibaly,4,0
Rudy Gobert,Evan Fournier,Nando De Colo,3,1
Matthew Strazel,Guerschon Yabusele,Nicolas Batum,3,1
Rudy Gobert,Frank Ntilikina,Isaia Cordinier,3,1
Matthew Strazel,Evan Fournier,Nando De Colo,3,1
Rudy Gobert,Guerschon Yabusele,Isaia Cordinier,3,1
Evan Fournier,Frank Ntilikina,Isaia Cordinier,3,1
Victor Wembanyama,Evan Fournier,Nando De Colo,3,1
Victor Wembanyama,Matthew Strazel,Nicolas Batum,3,1
Rudy Gobert,Guerschon Yabusele,Frank Ntilikina,3,1
Rudy Gobert,Evan Fournier,Frank Ntilikina,3,1
Victor Wembanyama,Nando De Colo,Mathias Lessort,3,1
Victor Wembanyama,Rudy Gobert,Nando De Colo,3,1
Evan Fournier,Guerschon Yabusele,Frank Ntilikina,3,-13
Evan Fournier,Guerschon Yabusele,Isaia Cordinier,3,1
Matthew Strazel,Evan Fournier,Guerschon Yabusele,2,2
Guerschon Yabusele,Frank Ntilikina,Isaia Cordinier,2,2
Rudy Gobert,Nando De Colo,Bilal Coulibaly,2,2
Matthew Strazel,Nando De Colo,Bilal Coulibaly,2,2
Victor Wembanyama,Frank Ntilikina,Isaia Cordinier,2,2
Victor Wembanyama,Frank Ntilikina,Mathias Lessort,2,2
Matthew Strazel,Evan Fournier,Nicolas Batum,2,2
Victor Wembanyama,Frank Ntilikina,Nando De Colo,2,2
Rudy Gobert,Guerschon Yabusele,Nando De Colo,2,2
Victor Wembanyama,Mathias Lessort,Isaia Cordinier,2,2
Victor Wembanyama,Nando De Colo,Isaia Cordinier,2,2
Victor Wembanyama,Matthew Strazel,Evan Fournier,2,2
Evan Fournier,Guerschon Yabusele,Bilal Coulibaly,2,2
Guerschon Yabusele,Nando De Colo,Bilal Coulibaly,2,2
Victor Wembanyama,Nicolas Batum,Nando De Colo,1,3
Nando De Colo,Mathias Lessort,Isaia Cordinier,1,3
Victor Wembanyama,Matthew Strazel,Mathias Lessort,1,3
Rudy Gobert,Evan Fournier,Isaia Cordinier,1,3
Frank Ntilikina,Mathias Lessort,Isaia Cordinier,1,3
Nicolas Batum,Nando De Colo,Mathias Lessort,1,3
Rudy Gobert,Evan Fournier,Andrew Albicy,1,3
Frank Ntilikina,Nando De Colo,Isaia Cordinier,1,3
Matthew Strazel,Nicolas Batum,Mathias Lessort,1,3
Victor Wembanyama,Rudy Gobert,Andrew Albicy,1,3
Rudy Gobert,Matthew Strazel,Bilal Coulibaly,1,3
Frank Ntilikina,Nando De Colo,Mathias Lessort,1,3
Victor Wembanyama,Nicolas Batum,Mathias Lessort,1,3
Matthew Strazel,Nando De Colo,Mathias Lessort,1,3
Victor Wembanyama,Matthew Strazel,Guerschon Yabusele,0,4
Victor Wembanyama,Guerschon Yabusele,Bilal Coulibaly,0,16
Evan Fournier,Guerschon Yabusele,Mathias Lessort,0,4
Victor Wembanyama,Evan Fournier,Andrew Albicy,0,-10
Victor Wembanyama,Bilal Coulibaly,Andrew Albicy,0,12
Rudy Gobert,Nicolas Batum,Nando De Colo,0,4
Rudy Gobert,Nicolas Batum,Andrew Albicy,0,4
Victor Wembanyama,Rudy Gobert,Guerschon Yabusele,0,4
Evan Fournier,Frank Ntilikina,Mathias Lessort,0,4
Guerschon Yabusele,Frank Ntilikina,Andrew Albicy,0,-14
Evan Fournier,Mathias Lessort,Isaia Cordinier,0,4
Rudy Gobert,Frank Ntilikina,Andrew Albicy,0,4
Frank Ntilikina,Nicolas Batum,Andrew Albicy,0,-14
Rudy Gobert,Guerschon Yabusele,Nicolas Batum,0,4
Guerschon Yabusele,Nicolas Batum,Nando De Colo,0,4
Victor Wembanyama,Nicolas Batum,Andrew Albicy,0,4
Frank Ntilikina,Nicolas Batum,Nando De Colo,0,4
Evan Fournier,Frank Ntilikina,Andrew Albicy,0,-10
Frank Ntilikina,Isaia Cordinier,Andrew Albicy,0,4
Guerschon Yabusele,Frank Ntilikina,Nicolas Batum,0,-14
Evan Fournier,Nicolas Batum,Andrew Albicy,0,-10
Frank Ntilikina,Nicolas Batum,Mathias Lessort,0,4
Evan Fournier,Guerschon Yabusele,Andrew Albicy,-1,-9
Guerschon Yabusele,Mathias Lessort,Isaia Cordinier,-1,5
Rudy Gobert,Evan Fournier,Bilal Coulibaly,-1,5
Guerschon Yabusele,Nando De Colo,Isaia Cordinier,-1,5
